cnpj;MES;NOME TRANSPORTADORA(S);CONTROLE;CONTEÚDO PERSONALIZADO;TELEMETRIA;CAVALEIRO;Gerente Sucesso;Analista Sucesso;TIPO;ESTADO;CLASSIFICAÇÃO CRESCIMENTO;DIAS DE CONTRATO;PONT. MOTORISTA;PONT. AJUDANTE;PONT. PX PROTEGE;PONT. TOTAL;QTD CONTRATOS
22300487,0;01/01/2026;1001 FESTAS;Não;Não;Não;BRASTIAS;Hiago Zanoni;Pedro Batista Lourenço de Menezes;Cliente Global;Ativo;Dados insuficientes;0,0;0,0;0,0;0,0;0,0;0,0
35822509,0;01/01/2026;2AE AEREO E RODOVIARIO TRANSPORTES;Não;Não;Não;LEODAGAN;Sabrina Bille Axt;José Bento;Cliente Global;Churn;;0,0;0,0;0,0;0,0;0,0;0,0
22873332,0;01/01/2026;3GX COMERCIO DE ALIMENTOS LTDA;Não;Não;Não;BEDIVERE;Guilherme Bervalt;Gislaine Fernandes da Silva;Cliente Global;Inativo;Dados insuficientes;0,0;0,0;0,0;0,0;0,0;0,0
10654927,0;01/01/2026;3e soluçoes;Não;Não;Não;BOORS;João Fernandes;Jonas Espindula;Cliente Global;Recorrente;;7,0;1,0;0,0;0,0;1,0;4,0
29030000,0;01/01/2026;3f transportes;Não;Não;Não;GAHERIS;Jonathan Medeiros;Jessica Orsato;Cliente Global;Inativo;Dados insuficientes;0,0;0,0;0,0;0,0;0,0;0,0
18502792,0;01/01/2026;4TAKES Indústria, Comércio, Serviços e Participações Ltda;Não;Não;Não;LUCAN;Bruno Lopes Brandão;Jessica Orsato;Cliente Global;Ativo;;0,0;0,0;0,0;0,0;0,0;0,0
42549077,0;01/01/2026;5 Estradas;Não;Sim;Sim;BEDIVERE;Guilherme Bervalt;Jonas Espindula;Cliente Estratégico;Recorrente;;301,5;30,0;0,0;0,0;42,0;19,0
14957458,0;01/01/2026;5G Transportes Ltda;Não;Não;Não;BEDIVERE;Guilherme Bervalt;Guilherme Gomes;Cliente Global;Churn;Dados insuficientes;0,0;0,0;0,0;0,0;0,0;0,0
26836482,0;01/01/2026;A A log Transportes Ltda;Não;Não;Não;CONSTANTINE;Maicon Modesto;Thamires Almeida de Morais dos Santos;Cliente Global;Recorrente;;6,0;1,0;0,0;0,0;1,0;0,0
36709183,0;01/01/2026;A N Transportes Ltda;Não;Não;Não;BEDIVERE;Guilherme Bervalt;Lua Gomes;Cliente Global;Churn;Dados insuficientes;0,0;0,0;0,0;0,0;0,0;0,0
50583954,0;01/01/2026;A.TONANNI CONSTRUCOES E SERVICOS LTDA;Não;Não;Não;BOORS;João Fernandes;Jonas Espindula;Cliente Global;Ativo;;0,0;0,0;0,0;0,0;0,0;0,0
7449216,0;01/01/2026;A.i.Gevehr transporte de cargas (NÃO LIGAR MAIS);Não;Não;Não;LAMORAK;Schaiene Moraes Wille;Joice Rocha;Cliente Global;Churn;Dados insuficientes;0,0;0,0;0,0;0,0;0,0;0,0
1703312,0;01/01/2026;ABC CARGAS LTDA;Não;Não;Não;SAGRAMORE;Rafael Fonseca Ramos da Silva;José Henrique Sutil Velho Coelho;Cliente Global;Churn;Dados insuficientes;0,0;0,0;0,0;0,0;0,0;0,0
11389422,0;01/01/2026;ABTLOG TRANSPORTES;Não;Não;Não;LAMORAK;Schaiene Moraes Wille;Luiz Odeli;Cliente Global;Inativo;;0,0;0,0;0,0;0,0;0,0;0,0
5222092,0;01/01/2026;ACCERT TRANSPORTES E LOGÍSTICA LTDA;Não;Não;Não;BEDIVERE;Guilherme Bervalt;Luiz Odeli;Cliente Global;Ativo;Dados insuficientes;0,0;0,0;0,0;0,0;0,0;0,0
81560047,0;01/01/2026;ACEVILLE;Não;Não;Não;GAHERIS;Jonathan Medeiros;Lua Gomes;Cliente Estratégico;Recorrente;;12,0;3,0;0,0;0,0;3,0;10,0
30072381,0;01/01/2026;ACMJ TRANSPORTES;Não;Não;Não;LAMORAK;Schaiene Moraes Wille;Joice Rocha;Cliente Global;Recorrente;;28,0;3,0;0,0;0,0;3,0;5,0
35962147,0;01/01/2026;ACOMAK ARTEFATOS TREFILADOS;Não;Não;Não;LUCAN;Bruno Lopes Brandão;Jessica Orsato;Cliente Global;Ativo;;41,0;5,0;0,0;3,0;8,0;7,0
4502873,0;01/01/2026;ADAMES TRANSPORTES DE CARGAS RODOVIARIO NACIONAL E INTERNACIONAL LTDA;Não;Não;Não;LAMORAK;Schaiene Moraes Wille;Jessica Orsato;Cliente Estratégico;Churn;Dados insuficientes;0,0;0,0;0,0;0,0;0,0;0,0
48430290,0;01/01/2026;ADDIANTE SA;Não;Não;Não;CONSTANTINE;Maicon Modesto;Joice Rocha;Cliente Global;Recorrente;;58,0;5,0;0,0;0,0;5,0;6,0
55753578,0;01/01/2026;ADEMIR COMERCIO DE VEICULOS E TRANSPORTADORA LTDA;Não;Não;Não;LEODAGAN;Sabrina Bille Axt;José Bento;Cliente Global;Ativo;;65,0;8,0;0,0;0,0;8,0;6,0
